,MYP,JNT,KPH,KUK,BLR,MSP,BTN,ERA,ESI,SRN,AME,BEG,PRN,ROP,PAR,PRG,SEC,MET,TAR,HSG,NGR,SOI,UPL,NAG
MYP,10,10,15,25,30,30,30,35,35,40,40,40,45,45,45,45,50,50,55,55,55,60,60,60
JNT,10,10,10,15,25,25,30,30,35,35,35,40,40,40,45,45,45,50,50,55,55,55,55,60
KPH,15,10,10,10,15,15,25,25,30,30,35,35,40,40,40,45,45,45,50,50,50,55,55,55
KUK,25,15,10,10,10,15,15,15,25,25,30,35,35,40,40,40,45,45,45,50,50,50,55,55
BLR,30,25,15,10,10,10,10,15,15,25,25,30,35,35,40,40,40,45,45,45,50,50,50,50
MSP,30,25,15,15,10,10,10,10,15,15,25,30,30,35,35,40,40,45,45,45,50,50,50,50
BTN,30,30,25,15,10,10,10,10,15,15,15,25,30,30,35,35,40,40,45,45,45,50,50,50
ERA,35,30,25,15,15,10,10,10,10,10,15,25,25,30,30,35,40,40,40,45,45,45,50,50
ESI,35,35,30,25,15,15,15,10,10,10,10,15,25,25,30,30,35,40,40,45,45,45,45,50
SRN,40,35,30,25,25,15,15,10,10,10,10,15,15,25,25,30,35,40,40,40,45,45,45,45
AME,40,35,35,30,25,25,15,15,10,10,10,10,15,25,25,30,30,35,40,40,40,45,45,45
BEG,40,40,35,35,30,30,25,25,15,15,10,10,10,15,15,25,30,35,35,40,40,40,45,45
PRN,45,40,40,35,35,30,30,25,25,15,15,10,10,10,15,15,25,30,35,35,40,40,40,40
ROP,45,40,40,40,35,35,30,30,25,25,25,15,10,10,10,15,15,25,30,35,35,40,40,40
PAR,45,45,40,40,40,35,35,30,30,25,25,15,15,10,10,10,15,25,25,30,35,35,40,40
PRG,45,45,45,40,40,40,35,35,30,30,30,25,15,15,10,10,10,15,25,30,30,35,35,40
SEC,50,45,45,45,40,40,40,40,35,35,30,30,25,15,15,10,10,10,15,25,25,30,30,35
MET,50,50,45,45,45,45,40,40,40,40,35,35,30,25,25,15,10,10,10,15,15,25,25,30
TAR,55,50,50,45,45,45,45,40,40,40,40,35,35,30,25,25,15,10,10,10,15,15,25,25
HSG,55,55,50,50,45,45,45,45,45,40,40,40,35,35,30,30,25,15,10,10,10,15,15,25
NGR,55,55,50,50,50,50,45,45,45,45,40,40,40,35,35,30,25,15,15,10,10,10,15,15
SOI,60,55,55,50,50,50,50,45,45,45,45,40,40,40,35,35,30,25,15,15,10,10,10,15
UPL,60,55,55,55,50,50,50,50,45,45,45,45,40,40,40,35,30,25,25,15,15,10,10,10
NAG,60,60,55,55,50,50,50,50,50,45,45,45,40,40,40,40,35,30,25,25,15,15,10,10
