sr,stop_id,up_id,down_id,stop_name,distance,stop_lon,stop_lat,stop_name_secondlang,wheelchair_boarding
1,ALVA,STA_COD_3106T_UP,,Aluva,0,76.3495,10.1099,ആലുവ,1
2,PNCU,STA_PF_UP_PNCU,STA_PF_DN_PNCU,Pulinchudu,1.826,76.3466,10.0951,പുളിഞ്ചോട്,1
3,CPPY,STA_PF_UP_CPPY,STA_PF_DN_CPPY,CompanyPady,2.795,76.3428,10.0873,കമ്പനിപ്പടി,1
4,ATTK,STA_PF_UP_AATK,STA_PF_DN_AATK,Ambattukavu,3.779,76.3389,10.0793,അമ്പാട്ടുകാവ്,1
5,MUTT,STA_COD_3512T_BH,STA_COD_3509T_DN,Muttom,4.716,76.3336,10.0727,മുട്ടം,1
6,KLMT,STA_PF_UP_KLMT,STA_PF_DN_KLMT,Kalamassery,6.768,76.322,10.0586,കളമശ്ശേരി,1
7,CCUV,STA_PF_UP_CCUV,STA_PF_DN_CCUV,Cusat,8.146,76.3182,10.0467,കൊച്ചിൻ യൂണിവേഴ്സിറ്റി,1
8,PDPM,STA_PF_UP_PDPM,STA_COD_3805T_BH,Pathadipalam,9.349,76.3144,10.0361,പത്തടിപ്പോലം,1
9,EDAP,STA_PF_UP_EDAP,STA_PF_DN_EDAP,Edapally Jn.,10.787,76.3083,10.0251,ഇടപ്പള്ളി,1
10,CGPP,STA_PF_UP_CGPP,STA_PF_DN_CGPP,Changampuzha Park,12.087,76.3023,10.0152,ചങ്ങമ്പുഴ പാർക്ക്,1
11,PARV,STA_PF_UP_PARV,STA_COD_4105T_DN,Palarivattom,13.095,76.3048,10.0064,പാലാരിവട്ടം,1
12,JLSD,STA_PF_UP_JLSD,STA_PF_DN_JLSD,JLN Stadium,14.217,76.2989,10.0002,ജെ എൽ എൻ സ്റ്റേഡിയം,1
13,KALR,STA_PF_UP_KALR,STA_PF_DN_KALR,Kaloor,15.249,76.2914,9.9943,കലൂർ,1
14,LSSE,STA_PF_UP_LSSE,STA_PF_DN_LSSE,Lissie Jn,15.722,76.2884,9.9914,ലിസ്സി,1
15,MGRD,STA_PF_UP_MGRD,STA_PF_DN_MGRD,MG Road,16.926,76.2823,9.9834,എം.ജി റോഡ്,1
16,MACE,,STA_COD_4605T_DN,Maharaja College,18.102,76.2851,9.9732,മഹാരാജാസ് കോളേജ്,1
